mvelX,mvelY,posX,posY,distance,i
499.658,-26.6646,5.05001e+08,8.84263e+08,3.83946e+08,0
498.636,-52.8172,5.10003e+08,8.83867e+08,3.82625e+08,1
496.949,-78.5802,5.14995e+08,8.83209e+08,3.80445e+08,2
494.598,-104.044,5.19966e+08,8.82293e+08,3.77427e+08,3
491.576,-129.295,5.249e+08,8.81126e+08,3.73595e+08,4
487.851,-154.5,5.29802e+08,8.79705e+08,3.68948e+08,5
483.383,-179.771,5.34664e+08,8.78032e+08,3.63496e+08,6
478.113,-205.227,5.3948e+08,8.76105e+08,3.57238e+08,7
471.969,-230.963,5.44235e+08,8.73921e+08,3.50178e+08,8
464.842,-257.143,5.4893e+08,8.71475e+08,3.42301e+08,9
456.62,-283.85,5.53544e+08,8.68767e+08,3.33617e+08,10
447.127,-311.266,5.58071e+08,8.65786e+08,3.24101e+08,11
436.163,-339.533,5.62496e+08,8.62528e+08,3.13747e+08,12
423.465,-368.813,5.66795e+08,8.58986e+08,3.02546e+08,13
408.649,-399.381,5.70963e+08,8.55142e+08,2.90455e+08,14
391.239,-431.473,5.7497e+08,8.50983e+08,2.77448e+08,15
370.598,-465.349,5.78785e+08,8.46497e+08,2.6351e+08,16
345.764,-501.424,5.82377e+08,8.41656e+08,2.48576e+08,17
315.453,-540.037,5.85691e+08,8.36446e+08,2.32631e+08,18
277.614,-581.719,5.88668e+08,8.30831e+08,2.15593e+08,19
229.159,-626.871,5.91214e+08,8.24786e+08,1.97432e+08,20
164.792,-675.828,5.93202e+08,8.1827e+08,1.78067e+08,21
74.9383,-728.088,5.94428e+08,8.11245e+08,1.57418e+08,22
-59.9981,-780.018,5.94551e+08,8.03692e+08,1.35375e+08,23
-288.923,-814.067,5.9292e+08,7.95686e+08,1.11668e+08,24
-643.186,-754.815,5.88304e+08,7.87706e+08,8.62506e+07,25
-1024.4,-423.615,5.79903e+08,7.81458e+08,6.69426e+07,26
-1058.9,353.661,5.68921e+08,7.81014e+08,6.58145e+07,27
-687.801,735.614,5.60091e+08,7.86859e+08,8.35056e+07,28
-326.424,814.248,5.55069e+08,7.9476e+08,1.08837e+08,29
-79.9297,785.398,5.53168e+08,8.0281e+08,1.32807e+08,30
62.2549,734.162,5.53136e+08,8.10416e+08,1.55001e+08,31
155.984,681.667,5.54258e+08,8.17498e+08,1.75794e+08,32
222.666,632.294,5.56169e+08,8.24069e+08,1.95295e+08,33
272.684,586.665,5.58662e+08,8.30172e+08,2.13606e+08,34
311.518,544.651,5.61593e+08,8.35827e+08,2.30748e+08,35
342.586,505.702,5.64873e+08,8.41082e+08,2.46818e+08,36
367.974,469.359,5.68435e+08,8.45962e+08,2.61861e+08,37
389.061,435.224,5.72229e+08,8.5049e+08,2.75918e+08,38
406.817,402.924,5.76219e+08,8.54687e+08,2.89034e+08,39
421.898,372.205,5.80369e+08,8.58565e+08,3.01221e+08,40
434.825,342.774,5.84658e+08,8.62142e+08,3.12523e+08,41
445.972,314.405,5.89068e+08,8.65431e+08,3.22967e+08,42
455.609,286.939,5.93578e+08,8.68438e+08,3.32561e+08,43
463.971,260.154,5.98184e+08,8.71176e+08,3.41338e+08,44
471.214,233.934,6.02867e+08,8.7365e+08,3.493e+08,45
477.468,208.145,6.07617e+08,8.75863e+08,3.56451e+08,46
482.836,182.664,6.12427e+08,8.77819e+08,3.62798e+08,47
487.392,157.392,6.1728e+08,8.7952e+08,3.68337e+08,48
491.2,132.193,6.22175e+08,8.80969e+08,3.73072e+08,49
494.305,106.933,6.27109e+08,8.82166e+08,3.76999e+08,50
496.733,81.5103,6.32073e+08,8.83109e+08,3.80106e+08,51
498.497,55.8131,6.37059e+08,8.83797e+08,3.82379e+08,52
499.597,29.7332,6.42055e+08,8.84226e+08,3.838e+08,53
